Mon Dec 19 16:24:38 2016    ./stats/16-12-19_win_single_worker

         1724992490 function calls (1724992199 primitive calls) in 1815.913 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3000    0.035    0.000    0.191    0.000 C:\Users\Lila\photo_mosaic\sources\photo_mosaic_maker\MosaicBuilder\Mosaic.py:285(get_quadrants)
    12006    0.034    0.000    0.068    0.000 {method 'write' of '_io.TextIOWrapper' objects}
    14559    0.033    0.000    0.999    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\logging\__init__.py:1257(debug)
     3001    0.032    0.000    4.334    0.001 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\Image.py:2247(open)
     6003    0.032    0.000    0.075    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\logging\__init__.py:1347(findCaller)
    24545    0.030    0.000    0.030    0.000 {built-in method builtins.max}
    36013    0.029    0.000    0.029    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\_weakrefset.py:70(__contains__)
     6853    0.029    0.000    0.168    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\PngImagePlugin.py:132(call)
    15000    0.028    0.000    0.028    0.000 {method 'crop' of 'ImagingCore' objects}
      853    0.028    0.000    0.028    0.000 {method 'decompress' of 'zlib.Decompress' objects}
    42000    0.027    0.000    0.027    0.000 {method 'pixel_access' of 'ImagingCore' objects}
    12208    0.026    0.000    0.068    0.000 {method 'join' of 'str' objects}
     6003    0.025    0.000    0.105    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\logging\__init__.py:487(formatTime)
    65156    0.025    0.000    0.025    0.000 {built-in method __new__ of type object at 0x000000001D63DE40}
     6003    0.025    0.000    0.185    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\logging\__init__.py:554(format)
     6003    0.025    0.000    0.025    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\logging\__init__.py:382(format)
    12000    0.023    0.000    0.090    0.000 C:\Users\Lila\photo_mosaic\sources\photo_mosaic_maker\MosaicBuilder\Cluster.py:9(<lambda>)
     6004    0.022    0.000    0.027    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\ntpath.py:120(splitdrive)
     6003    0.022    0.000    0.022    0.000 {built-in method time.localtime}
    12000    0.022    0.000    0.032    0.000 C:\Users\Lila\photo_mosaic\sources\photo_mosaic_maker\MosaicBuilder\Cluster.py:67(<listcomp>)
    14562    0.022    0.000    0.036    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\logging\__init__.py:1515(isEnabledFor)
     6003    0.022    0.000    0.524    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\logging\__init__.py:1471(callHandlers)
     9003    0.022    0.000    0.022    0.000 {method 'seek' of '_io.BufferedReader' objects}
    12006    0.021    0.000    0.021    0.000 {built-in method _codecs.charmap_encode}
    12000    0.020    0.000    0.028    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\random.py:220(_randbelow)
     6003    0.020    0.000    0.931    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\logging\__init__.py:1392(_log)
    12000    0.020    0.000    0.020    0.000 {method 'getcolors' of 'ImagingCore' objects}
     6003    0.019    0.000    0.299    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\logging\__init__.py:1377(makeRecord)
     3000    0.019    0.000    0.025    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\PngImagePlugin.py:614(load_end)
     3001    0.019    0.000    0.379    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\ImageFile.py:78(__init__)
     3000    0.018    0.000    0.033    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\PngImagePlugin.py:330(chunk_IHDR)
     6003    0.018    0.000    0.033    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\genericpath.py:111(_splitext)
     6003    0.018    0.000    0.464    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\logging\__init__.py:968(emit)
    12000    0.018    0.000    1.040    0.000 C:\Users\Lila\photo_mosaic\sources\photo_mosaic_maker\MosaicBuilder\Mosaic.py:275(get_colors_from_image)
    12000    0.017    0.000    0.053    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\Image.py:1115(getcolors)
     3756    0.017    0.000    0.017    0.000 {built-in method builtins.sorted}
    48297    0.017    0.000    0.017    0.000 {built-in method builtins.sum}
     6003    0.017    0.000    0.021    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\logging\__init__.py:118(getLevelName)
     7706    0.017    0.000    0.017    0.000 {built-in method PIL._imaging.crc32}
     6003    0.017    0.000    0.186    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\logging\__init__.py:957(flush)
     3853    0.015    0.000    0.041    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\PngImagePlugin.py:138(crc)
    14562    0.014    0.000    0.014    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\logging\__init__.py:1501(getEffectiveLevel)
    15540    0.014    0.000    0.014    0.000 C:\Users\Lila\photo_mosaic\sources\photo_mosaic_maker\MosaicBuilder\Cluster.py:59(<listcomp>)
    12006    0.013    0.000    0.034    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\encodings\cp1252.py:18(encode)
     6003    0.013    0.000    0.502    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\logging\__init__.py:842(handle)
    12000    0.013    0.000    0.013    0.000 C:\Users\Lila\photo_mosaic\sources\photo_mosaic_maker\MosaicBuilder\Cluster.py:34(<listcomp>)
    10246    0.012    0.000    0.012    0.000 {built-in method builtins.getattr}
     6003    0.012    0.000    0.026    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\ntpath.py:45(normcase)
     3001    0.011    0.000    0.011    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\BmpImagePlugin.py:54(_accept)
     6853    0.011    0.000    0.011    0.000 {method 'decode' of 'bytes' objects}
    85047    0.011    0.000    0.011    0.000 {method 'append' of 'list' objects}
     6003    0.010    0.000    0.538    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\logging\__init__.py:1417(handle)
     3000    0.010    0.000    0.010    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\PngImagePlugin.py:345(chunk_IDAT)
     3000    0.010    0.000    0.023    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\PngImagePlugin.py:282(__init__)
      853    0.010    0.000    0.052    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\PngImagePlugin.py:302(chunk_iCCP)
     3000    0.010    0.000    0.012    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\PngImagePlugin.py:99(__init__)
    21001    0.010    0.000    0.010    0.000 {method 'copy' of 'dict' objects}
    12029    0.010    0.000    0.010    0.000 {method 'replace' of 'str' objects}
    12006    0.009    0.000    0.017    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\logging\__init__.py:799(acquire)
     3000    0.009    0.000    0.060    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\PngImagePlugin.py:580(load_prepare)
    12000    0.009    0.000    0.036    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\Image.py:136(isImageType)
     3002    0.008    0.000    0.010    0.000 {method 'sort' of 'list' objects}
    12007    0.008    0.000    0.008    0.000 {method 'acquire' of '_thread.RLock' objects}
    18011    0.008    0.000    0.008    0.000 {method 'rfind' of 'str' objects}
     6003    0.008    0.000    0.043    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\ntpath.py:220(splitext)
        1    0.008    0.008    0.084    0.084 C:\Users\Lila\photo_mosaic\sources\photo_mosaic_maker\MosaicBuilder\Mosaic.py:260(get_tiles)
     6003    0.008    0.000    0.472    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\logging\__init__.py:1039(emit)
     6003    0.008    0.000    0.193    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\logging\__init__.py:819(format)
     6003    0.008    0.000    0.013    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\logging\__init__.py:149(<lambda>)
     3001    0.008    0.000    0.019    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\Image.py:410(_getdecoder)
     6003    0.008    0.000    0.013    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\logging\__init__.py:379(usesTime)
    21037    0.008    0.000    0.008    0.000 {method 'get' of 'dict' objects}
     3001    0.007    0.000    0.050    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\ImageFile.py:255(load_prepare)
     3001    0.007    0.000    0.007    0.000 {method 'setimage' of 'ImagingDecoder' objects}
    12006    0.007    0.000    0.009    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\logging\__init__.py:806(release)
     6003    0.007    0.000    0.081    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\ntpath.py:230(basename)
     6003    0.007    0.000    0.020    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\logging\__init__.py:532(usesTime)
    23251    0.007    0.000    0.007    0.000 {method 'getrandbits' of '_random.Random' objects}
     6003    0.007    0.000    0.007    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\threading.py:1224(current_thread)
     3000    0.007    0.000    0.007    0.000 {built-in method PIL._imaging.zip_decoder}
     6002    0.007    0.000    0.012    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\_util.py:13(isPath)
     9001    0.007    0.000    0.013    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\_util.py:10(isStringType)
     6003    0.006    0.000    0.006    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\logging\__init__.py:321(getMessage)
    15540    0.006    0.000    0.006    0.000 C:\Users\Lila\photo_mosaic\sources\photo_mosaic_maker\MosaicBuilder\Cluster.py:53(<listcomp>)
      343    0.006    0.000    0.006    0.000 {built-in method _codecs.charmap_decode}
     3001    0.006    0.000    0.068    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\Image.py:2005(new)
    12006    0.006    0.000    0.006    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\logging\__init__.py:695(filter)
     3000    0.005    0.000    0.005    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\PngImagePlugin.py:125(close)
    15540    0.005    0.000    0.005    0.000 C:\Users\Lila\photo_mosaic\sources\photo_mosaic_maker\MosaicBuilder\Cluster.py:75(<listcomp>)
     7730    0.005    0.000    0.008    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\_binary.py:52(i16be)
     6003    0.005    0.000    0.005    0.000 {method 'find' of 'str' objects}
       71    0.005    0.000    0.005    0.000 {built-in method nt.stat}
     3001    0.005    0.000    0.005    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\TiffImagePlugin.py:241(_accept)
     6005    0.005    0.000    0.005    0.000 {built-in method sys._getframe}
     3863    0.005    0.000    0.008    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\ImageFile.py:506(_safe_read)
     6003    0.005    0.000    0.005    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\threading.py:1074(name)
