Mon Dec 19 10:35:29 2016    ./stats/16-12-18_win

         22431 function calls (21873 primitive calls) in 1512.356 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       21 1508.059   71.812 1508.059   71.812 {method 'acquire' of '_thread.lock' objects}
        1    0.000    0.000    0.008    0.008 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\shutil.py:5(<module>)
        2    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\enum.py:88(__new__)
        4    0.000    0.000    0.002    0.001 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\collections\__init__.py:356(namedtuple)
       44    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:474(_compile_bytecode)
      180    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1064(_path_importer_cache)
       50    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1210(_get_spec)
        8    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\multiprocessing\queues.py:334(__getstate__)
      509    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\TiffTags.py:343(_populate)
        1    0.000    0.000    0.007    0.007 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\TiffImagePlugin.py:42(<module>)
        9    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\multiprocessing\reduction.py:37(__init__)
       44    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.001    0.001 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\TiffTags.py:20(<module>)
      104    0.000    0.000    0.002    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\re.py:278(_compile)
       54    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:570(module_from_spec)
        1    0.000    0.000    0.000    0.000 {built-in method _locale.setlocale}
        8    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\multiprocessing\process.py:278(__reduce__)
      224    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:856(__exit__)
       50    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:342(_get_cached)
       25    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\ntpath.py:120(splitdrive)
       61    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method PIL._imaging.new}
        1    0.000    0.000    0.004    0.004 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\socket.py:47(<module>)
        7    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\TiffImagePlugin.py:589(_register_basic)
      151    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:30(_relax_case)
        4    0.000    0.000    0.001    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\Image.py:1017(crop)
    48/23    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\sre_parse.py:167(getwidth)
      101    0.000    0.000    0.000    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
       50    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:78(_path_is_mode_type)
        1    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\tarfile.py:717(TarInfo)
        5    0.000    0.000    0.000    0.000 {built-in method time.strftime}
       18    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\sre_compile.py:248(_optimize_charset)
        5    0.000    0.000    3.117    0.623 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\ImageFile.py:444(_save)
     22/8    0.000    0.000    0.045    0.006 {built-in method builtins.__import__}
       22    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\abc.py:135(<setcomp>)
       16    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\multiprocessing\connection.py:936(reduce_pipe_connection)
        4    0.000    0.000    0.001    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\BmpImagePlugin.py:232(_save)
        5    0.000    0.000    3.120    0.624 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\Image.py:1623(save)
       18    0.000    0.000    0.795    0.044 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\multiprocessing\popen_spawn_win32.py:74(wait)
        1    0.000    0.000 1512.133 1512.133 C:\Users\Lila\photo_mosaic\sources\photo_mosaic_maker\MosaicBuilder\Mosaic.py:71(start)
        1    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\selectors.py:79(BaseSelector)
       88    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:45(_r_long)
        4    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\multiprocessing\spawn.py:140(get_preparation_data)
        4    0.000    0.000    0.000    0.000 {built-in method _winapi.CreatePipe}
       94    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:406(cached)
      121    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\sre_parse.py:157(__getitem__)
        1    0.000    0.000    0.099    0.099 C:\Users\Lila\photo_mosaic\sources\photo_mosaic_maker\MosaicBuilder\Mosaic.py:128(combine_quadrants)
        3    0.000    0.000    0.000    0.000 {built-in method builtins.print}
      100    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\TiffTags.py:26(__new__)
       33    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
  673/657    0.000    0.000    0.000    0.000 {built-in method builtins.len}
       52    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\_weakrefset.py:58(__iter__)
        4    0.000    0.000    0.000    0.000 {method 'crop' of 'ImagingCore' objects}
     86/9    0.000    0.000    0.047    0.005 <frozen importlib._bootstrap>:214(_call_with_frames_removed)
       44    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:826(path_stats)
      224    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:852(__enter__)
       16    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\multiprocessing\reduction.py:101(__init__)
       16    0.000    0.000    0.000    0.000 {built-in method _winapi.OpenProcess}
       61    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:159(__init__)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
       44    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
       28    0.000    0.000    0.000    0.000 {built-in method _winapi.CloseHandle}
       59    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:372(__init__)
        2    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\enum.py:547(<dictcomp>)
        4    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\multiprocessing\process.py:71(__init__)
       56    0.000    0.000    0.000    0.000 {built-in method builtins.any}
       55    0.000    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:1133(find_spec)
