Sun Dec 18 16:32:28 2016    ./stats/stats_2_win

         1282713854 function calls (1282713516 primitive calls) in 1338.202 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2107    0.029    0.000    1.118    0.001 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\Image.py:2293(_open_core)
     8021    0.029    0.000    0.614    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\logging\__init__.py:1471(callHandlers)
     2107    0.028    0.000    0.028    0.000 {built-in method PIL._imaging.new}
    17982    0.028    0.000    0.050    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\abc.py:178(__instancecheck__)
     8021    0.027    0.000    0.032    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\logging\__init__.py:118(getLevelName)
     8021    0.026    0.000    0.026    0.000 {built-in method time.localtime}
     2107    0.026    0.000    1.045    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\PngImagePlugin.py:520(_open)
    33696    0.026    0.000    0.026    0.000 C:\Users\Lila\photo_mosaic\sources\photo_mosaic_maker\MosaicBuilder\Cluster.py:9(<genexpr>)
     8424    0.026    0.000    0.869    0.000 C:\Users\Lila\photo_mosaic\sources\photo_mosaic_maker\MosaicBuilder\Cluster.py:30(colorz2)
     8021    0.025    0.000    1.161    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\logging\__init__.py:1392(_log)
     4212    0.023    0.000    0.125    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\Image.py:1264(paste)
    10530    0.023    0.000    0.023    0.000 {method 'crop' of 'ImagingCore' objects}
     8021    0.023    0.000    0.042    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\genericpath.py:111(_splitext)
     8021    0.023    0.000    0.536    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\logging\__init__.py:968(emit)
     8021    0.022    0.000    0.022    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\logging\__init__.py:382(format)
    16042    0.022    0.000    0.022    0.000 {built-in method _codecs.charmap_encode}
     8021    0.022    0.000    0.201    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\logging\__init__.py:957(flush)
    27591    0.022    0.000    0.022    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\_weakrefset.py:70(__contains__)
     2106    0.021    0.000    0.128    0.000 C:\Users\Lila\photo_mosaic\sources\photo_mosaic_maker\MosaicBuilder\MosaicWorker.py:94(get_quadrants)
     8021    0.021    0.000    0.414    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\logging\__init__.py:1377(makeRecord)
     2107    0.020    0.000   16.461    0.008 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\Image.py:2247(open)
      567    0.020    0.000    0.020    0.000 {method 'decompress' of 'zlib.Decompress' objects}
    23264    0.019    0.000    0.019    0.000 {built-in method builtins.max}
     8021    0.019    0.000    0.019    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\logging\__init__.py:321(getMessage)
     4781    0.019    0.000    0.923    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\PngImagePlugin.py:132(call)
    57528    0.019    0.000    0.019    0.000 {built-in method __new__ of type object at 0x000000007325DE40}
    16042    0.018    0.000    0.040    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\encodings\cp1252.py:18(encode)
     8021    0.017    0.000    0.586    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\logging\__init__.py:842(handle)
    51944    0.016    0.000    0.016    0.000 {built-in method builtins.sum}
     8632    0.016    0.000    0.042    0.000 {method 'join' of 'str' objects}
    10127    0.015    0.000    0.033    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\ntpath.py:45(normcase)
    29484    0.015    0.000    0.015    0.000 {method 'pixel_access' of 'ImagingCore' objects}
     6321    0.015    0.000    0.015    0.000 {method 'seek' of '_io.BufferedReader' objects}
     8424    0.014    0.000    0.056    0.000 C:\Users\Lila\photo_mosaic\sources\photo_mosaic_maker\MosaicBuilder\Cluster.py:9(<lambda>)
