Mon Dec 19 10:50:52 2016    ./stats/16-12-18_win

         22521 function calls (21963 primitive calls) in 668.390 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       54    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:321(__exit__)
       82    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\_weakrefset.py:36(__init__)
        2    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\enum.py:88(__new__)
        4    0.000    0.000    0.002    0.001 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\collections\__init__.py:356(namedtuple)
       55    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:591(_open_registry)
      180    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1064(_path_importer_cache)
      513    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
       50    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1210(_get_spec)
        4    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\multiprocessing\spawn.py:140(get_preparation_data)
       44    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:474(_compile_bytecode)
        1    0.000    0.000    0.008    0.008 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\TiffImagePlugin.py:42(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\TiffTags.py:343(_populate)
       61    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:163(__enter__)
       54    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap>:570(module_from_spec)
       44    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.001    0.001 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\TiffTags.py:20(<module>)
        9    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\multiprocessing\reduction.py:37(__init__)
       44    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:826(path_stats)
      104    0.000    0.000    0.002    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\re.py:278(_compile)
       26    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\ntpath.py:120(splitdrive)
       18    0.000    0.000    0.097    0.005 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\multiprocessing\popen_spawn_win32.py:74(wait)
      151    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:30(_relax_case)
      101    0.000    0.000    0.000    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
       50    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:342(_get_cached)
       61    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__init__)
        7    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\TiffImagePlugin.py:589(_register_basic)
    48/23    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\sre_parse.py:167(getwidth)
       50    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:78(_path_is_mode_type)
        5    0.000    0.000    1.388    0.278 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\ImageFile.py:444(_save)
        1    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\selectors.py:79(BaseSelector)
        1    0.000    0.000    0.044    0.044 C:\Users\Lila\photo_mosaic\sources\photo_mosaic_maker\MosaicBuilder\Mosaic.py:128(combine_quadrants)
      224    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:856(__exit__)
        1    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\tarfile.py:717(TarInfo)
       16    0.000    0.000    0.001    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\multiprocessing\connection.py:936(reduce_pipe_connection)
