2017-01-17 14:45:12,317 - DEBUG	 - 5400	 - Worker	 - get_match: Found 10 matches for tile.
2017-01-17 14:45:12,318 - DEBUG	 - 5400	 - Worker	 - mosaic: 5/540 Match found at J:\Mosaic\database\santana-feat.-everlast-7.png with a difference of 46
2017-01-17 14:45:12,436 - DEBUG	 - 6920	 - Worker	 - get_match: Found 5 matches for tile.
2017-01-17 14:45:12,436 - DEBUG	 - 6920	 - Worker	 - mosaic: 5/540 Match found at J:\Mosaic\database\elbow-5.png with a difference of 32
2017-01-17 14:45:12,798 - DEBUG	 - 8040	 - Worker	 - get_match: Found 9 matches for tile.
2017-01-17 14:45:12,798 - DEBUG	 - 8040	 - Worker	 - mosaic: 6/513 Match found at J:\Mosaic\database\massive-attack-14.png with a difference of 66
2017-01-17 14:45:12,828 - DEBUG	 - 572	 - Worker	 - get_match: Found 9 matches for tile.
2017-01-17 14:45:12,828 - DEBUG	 - 572	 - Worker	 - mosaic: 6/513 Match found at J:\Mosaic\database\survivor-2.png with a difference of 66
2017-01-17 14:45:12,836 - DEBUG	 - 5400	 - Worker	 - get_match: Found 10 matches for tile.
2017-01-17 14:45:12,836 - DEBUG	 - 5400	 - Worker	 - mosaic: 6/540 Match found at J:\Mosaic\database\the-offspring-21.png with a difference of 39
2017-01-17 14:45:12,962 - DEBUG	 - 6920	 - Worker	 - get_match: Found 3 matches for tile.
2017-01-17 14:45:12,962 - DEBUG	 - 6920	 - Worker	 - mosaic: 6/540 Match found at J:\Mosaic\database\aquasky-2.png with a difference of 73
2017-01-17 14:45:13,310 - DEBUG	 - 8040	 - Worker	 - get_match: Found 10 matches for tile.
2017-01-17 14:45:13,310 - DEBUG	 - 8040	 - Worker	 - mosaic: 7/513 Match found at J:\Mosaic\database\dream-theater-13.png with a difference of 43
2017-01-17 14:45:13,345 - DEBUG	 - 572	 - Worker	 - get_match: Found 7 matches for tile.
2017-01-17 14:45:13,345 - DEBUG	 - 572	 - Worker	 - mosaic: 7/513 Match found at J:\Mosaic\database\derek-&-the-dominos-2.png with a difference of 46
2017-01-17 14:45:13,357 - DEBUG	 - 5400	 - Worker	 - get_match: Found 11 matches for tile.
2017-01-17 14:45:13,357 - DEBUG	 - 5400	 - Worker	 - mosaic: 7/540 Match found at J:\Mosaic\database\santana-feat.-everlast-7.png with a difference of 41
2017-01-17 14:45:13,488 - DEBUG	 - 6920	 - Worker	 - get_match: Found 11 matches for tile.
2017-01-17 14:45:13,488 - DEBUG	 - 6920	 - Worker	 - mosaic: 7/540 Match found at J:\Mosaic\database\mano-negra-1.png with a difference of 73
2017-01-17 14:45:13,822 - DEBUG	 - 8040	 - Worker	 - get_match: Found 8 matches for tile.
2017-01-17 14:45:13,822 - DEBUG	 - 8040	 - Worker	 - mosaic: 8/513 Match found at J:\Mosaic\database\derek-&-the-dominos-2.png with a difference of 39
2017-01-17 14:45:13,865 - DEBUG	 - 572	 - Worker	 - get_match: Found 7 matches for tile.
2017-01-17 14:45:13,865 - DEBUG	 - 572	 - Worker	 - mosaic: 8/513 Match found at J:\Mosaic\database\outkast-4.png with a difference of 80
2017-01-17 14:45:13,875 - DEBUG	 - 5400	 - Worker	 - get_match: Found 10 matches for tile.
2017-01-17 14:45:13,875 - DEBUG	 - 5400	 - Worker	 - mosaic: 8/540 Match found at J:\Mosaic\database\survivor-2.png with a difference of 50
2017-01-17 14:45:14,012 - DEBUG	 - 6920	 - Worker	 - get_match: Found 6 matches for tile.
2017-01-17 14:45:14,012 - DEBUG	 - 6920	 - Worker	 - mosaic: 8/540 Match found at J:\Mosaic\database\willie-nelson-40.png with a difference of 52
2017-01-17 14:45:14,333 - DEBUG	 - 8040	 - Worker	 - get_match: Found 13 matches for tile.
2017-01-17 14:45:14,333 - DEBUG	 - 8040	 - Worker	 - mosaic: 9/513 Match found at J:\Mosaic\database\dream-theater-13.png with a difference of 36
2017-01-17 14:45:14,394 - DEBUG	 - 572	 - Worker	 - get_match: Found 8 matches for tile.
2017-01-17 14:45:14,394 - DEBUG	 - 572	 - Worker	 - mosaic: 9/513 Match found at J:\Mosaic\database\derek-&-the-dominos-2.png with a difference of 44
2017-01-17 14:45:14,395 - DEBUG	 - 5400	 - Worker	 - get_match: Found 8 matches for tile.
